Place,RIGOCode,RIGOCodeSt,RIGOCodeNo,RIGO2,RIGO,Code,Muni,MSA,MuniCode2,MSAPOP,State
Canterbury,NH03,NH,3,0,Central New Hampshire RPC,1309860,1,Not Applicable,3309860,-,Ca
Brimfield town,MA04,MA,4,0,Pioneer Valley Planning Commission,1308470,1,"Worcester, MA",2508470,798552,MA
Bradford,NH03,NH,3,0,Central New Hampshire RPC,1306980,1,Not Applicable,3306980,-,Br
Bow,NH03,NH,3,0,Central New Hampshire RPC,1306500,1,Not Applicable,3306500,-,Bo
Bolton town,CT01,CT,1,0,Capital Region Council of Governments,1306261,1,Not Applicable,906261,-,CT
Boscawen,NH03,NH,3,0,Central New Hampshire RPC,1306260,1,Not Applicable,3306260,-,Bo
Blandford town,MA04,MA,4,0,Pioneer Valley Planning Commission,1306085,1,"Springfield, MA",2506085,692942,MA
Andover,NH09,NH,9,0,Lakes Region Planning Commission,1301460,1,Not Applicable,3301460,-,An
Andover town,CT01,CT,1,0,Capital Region Council of Governments,1301080,1,"Hartford-West Hartford-East Hartford, CT",901080,1212381,CT
Agawam Town city,MA04,MA,4,0,Pioneer Valley Planning Commission,1300840,1,"Springfield, MA",2500840,692942,MA
Alburg town,VT01,VT,1,0,Northwest RPC,1300700,1,Not Applicable,5000700,-,VT
Allenstown,NH03,NH,3,0,Central New Hampshire RPC,1300660,1,"Boston-Cambridge-Quincy, MA-NH",3300660,4552402,Al
Windsor,NH07,NH,7,0,Southwest Region Planning Commission,1185940,1,Not Applicable,3385940,-,Wi
Wilton,NH08,NH,8,0,Nashua Regional Planning Commission,1185220,1,"Boston-Cambridge-Quincy, MA-NH",3385220,4552402,Wi
Waterford town,CT08,CT,8,0,Southeastern Connecticut Council of Governments,1180280,1,"Norwich-New London, CT",980280,274055,CT
Weare,NH04,NH,4,0,Southern New Hampshire Planning Commission,1179780,1,"Boston-Cambridge-Quincy, MA-NH",3379780,4552402,We
Whately town,MA03,MA,3,0,Franklin Regional Council of Governments,1179110,1,"Springfield, MA",2579110,692942,MA
Voluntown town,CT05,CT,5,0,Northeastern Connecticut Council of Governments,1178600,1,"Norwich-New London, CT",978600,274055,CT
Temple,NH07,NH,7,0,Southwest Region Planning Commission,1176260,1,"Boston-Cambridge-Quincy, MA-NH",3376260,4552402,Te
Wendell town,MA03,MA,3,0,Franklin Regional Council of Governments,1174525,1,"Springfield, MA",2574525,692942,MA
Stonington town,CT08,CT,8,0,Southeastern Connecticut Council of Governments,1173770,1,"Norwich-New London, CT",973770,274055,CT
Warwick town,MA03,MA,3,0,Franklin Regional Council of Governments,1173265,1,Not Applicable,2573265,-,MA
Swanton town,VT01,VT,1,0,Northwest RPC,1171725,1,"Burlington-South Burlington, VT",5071725,211261,VT
Sprague town,CT08,CT,8,0,Southeastern Connecticut Council of Governments,1171670,1,"Norwich-New London, CT",971670,274055,CT
Sharon,NH07,NH,7,0,Southwest Region Planning Commission,1168820,1,Not Applicable,3368820,-,Sh
Sunderland town,MA03,MA,3,0,Franklin Regional Council of Governments,1168400,1,"Springfield, MA",2568400,692942,MA
Salem town,CT08,CT,8,0,Southeastern Connecticut Council of Governments,1166210,1,"Norwich-New London, CT",966210,274055,CT
Sheldon town,VT01,VT,1,0,Northwest RPC,1164600,1,Not Applicable,5064600,-,VT
Preston town,CT08,CT,8,0,Southeastern Connecticut Council of Governments,1162150,1,"Norwich-New London, CT",962150,274055,CT
Shutesbury town,MA03,MA,3,0,Franklin Regional Council of Governments,1161905,1,"Springfield, MA",2561905,692942,MA
St. Albans town,VT01,VT,1,0,Northwest RPC,1161750,1,"Burlington-South Burlington, VT",5061750,211261,VT
St. Albans city,VT01,VT,1,0,Northwest RPC,1161675,1,"Burlington-South Burlington, VT",5061675,211261,VT
Shelburne town,MA03,MA,3,0,Franklin Regional Council of Governments,1161135,1,Not Applicable,2561135,-,MA
Peterborough,NH07,NH,7,0,Southwest Region Planning Commission,1160580,1,Not Applicable,3360580,-,Pe
Pelham,NH08,NH,8,0,Nashua Regional Planning Commission,1159940,1,"Boston-Cambridge-Quincy, MA-NH",3359940,4552402,Pe
Richford town,VT01,VT,1,0,Northwest RPC,1159125,1,Not Applicable,5059125,-,VT
Rowe town,MA03,MA,3,0,Franklin Regional Council of Governments,1158335,1,Not Applicable,2558335,-,MA
